
================================================================================
CHUNK: doc::90d477d7dfb18972::0 | TIME: 2026-03-29T05:53:42.478173
================================================================================

--- CHUNK TEXT (7841 chars) ---
В роскошном церемониальном зале бурлило недоумение и даже возмущение.

Благородные дамы и господа, нарушая приличие, перешептывались. “Кто этот некрасивый парень?” и “Почему он женится на принцессе Каре?” – вот два вопроса, тревожившие умы всех присутствующих.

Тем временем церемония подходила к концу.

Почти муж и жена надели друг другу кольца.

Невеста по имени Кара имела поистине выдающуюся внешность. Стройное тело с большими достоинствами, облачённое в изящное бело-бордовое свадебное платье, вызывало неконтролируемое слюноотделение у всех гостей мужского пола, а также жгучее желание прикончить жениха за такую удачу.

Её прекрасный проницательный взгляд с демоническим очарованием, казалось, мог захватить душу, но сейчас им удостоился какой-то неизвестный, слабый, далеко не самый красивый юноша. Что за несправедливость?

Муж же, с виду парень лет 15-ти, загримированный под отнюдь не красавца (это мягко сказано), ухмылялся, будто кот, загнавший мышку в угол. Давящие взгляды ревнивцев, имей они физическую силу, убили бы его сотни раз, что лишь подогревало настроение.

Принцесса с выражением “Как такое возможно?” на лице смотрела на парня. Она бы ни за что не поверила, что человек перед ней – это безродный юноша, которого она приговорила к каторжным работам в шахтах до самой его смерти.

Старейшина окинул сочувственным взглядом Кару, затем завистливым жениха, и громко произнёс:

«Скрепите ваш союз поцелуем.»

Кара не без раздражения вспомнила об этой формальности у человеческой расы и опалила неприязненным взглядом жениха, как бы говоря – “только попробуй, и ты определенно об этом пожалеешь!”.

Юноша хитро улыбнулся от осознания её беспомощности: {Она не посмеет остановить меня, не пойдёт против воли матери.} – атмосфера вседозволенности пробирала до костей, возбуждая всё нутро. По крайней мере, сейчас она в его власти.

Пухлые вишнёвые губы принцессы так и манили… Парень, не сдерживаясь, страстно впился в них, ощущая податливую мягкость и сладкий аромат девичьего те
... [5841 more chars]


--- PROMPT (8655 chars) ---
You are a knowledge graph builder. Extract entities and relationships from this content.

BASE CATEGORIES: персонаж, локация, событие, предмет, концепция, организация, код

CONTENT (from Âñ¸_áóäåò_ïî-ìîåìó!_Àðêà_1.txt):
В роскошном церемониальном зале бурлило недоумение и даже возмущение.

Благородные дамы и господа, нарушая приличие, перешептывались. “Кто этот некрасивый парень?” и “Почему он женится на принцессе Каре?” – вот два вопроса, тревожившие умы всех присутствующих.

Тем временем церемония подходила к концу.

Почти муж и жена надели друг другу кольца.

Невеста по имени Кара имела поистине выдающуюся внешность. Стройное тело с большими достоинствами, облачённое в изящное бело-бордовое свадебное платье, вызывало неконтролируемое слюноотделение у всех гостей мужского пола, а также жгучее желание прикончить жениха за такую удачу.

Её прекрасный проницательный взгляд с демоническим очарованием, казалось, мог захватить душу, но сейчас им удостоился какой-то неизвестный, слабый, далеко не самый красивый юноша. Что за несправедливость?

Муж же, с виду парень лет 15-ти, загримированный под отнюдь не красавца (это мягко сказано), ухмылялся, будто кот, загнавший мышку в угол. Давящие взгляды ревнивцев, имей они физическую силу, убили бы его сотни раз, что лишь подогревало настроение.

Принцесса с выражением “Как такое возможно?” на лице смотрела на парня. Она бы ни за что не поверила, что человек перед ней – это безродный юноша, которого она приговорила к каторжным работам в шахтах до самой его смерти.

Старейшина окинул сочувственным взглядом Кару, затем завистливым жениха, и громко произнёс:

«Скрепите ваш союз поцелуем.»

Кара не без раздражения вспомнила об этой формальности у человеческой расы и опалила неприязненным взглядом жениха, как бы говоря – “только попробуй, и ты определенно об этом пожалеешь!”.

Юноша хитро улыбнулся от осознания её беспомощности: {Она не посмеет остановить меня, не пойдёт против воли матери.} – атмосфера вседозволенности пробирала до костей, возбуждая всё нутро. По крайней мере, сейчас она в его власти.

Пухлые вишнёвые губы принцессы так и манили… Парень, не сдерживаясь, страстно впился в них, ощущая податливую мягкость и сладкий аромат девичьего тела. Он искренне наслаждался чувством власти над очаровательной девушкой, а для большего удовольствия обнял невесту за тонкую талию, слегка прижал пышную грудь к себе. Услышал, как у многих перехватило дыхание.

Гости с завистью и ревностью не отрывали глаз от целующейся пары. Казалось, что земле пора бы извергнуться, этим ознаменовав конец света и здравого смысла.

Черту муж не переступал - стоит просунуть язык дальше, и она его, того и гляди, откусит.

Вы когда-нибудь видели, как девушка смотрит на ползущего по ней мерзкого и склизкого слизняка? Именно таким взглядом принцесса взирала на упоенно лобызающего её паренька. Ничего, месть будет страшна и не заставит себя ждать – вероятнее всего, она настигнет новоявленного муженька совсем скоро, в брачную ночь.

Она бы сдел
... [5655 more chars]


--- LLM RESPONSE (3998 chars) ---
NEW: кён | персонаж | юноша, потерявший память в шахте
EDGE: кён -> персонаж | BELONGS_TO |
NEW: кара | персонаж | принцесса, невеста на церемонии
EDGE: кара -> персонаж | BELONGS_TO |
NEW: старейшина | персонаж | проводит церемонию бракосочетания
EDGE: старейшина -> персонаж | BELONGS_TO |
NEW: мать кары | персонаж | сдерживает принцессу взглядом
EDGE: мать кары -> персонаж | BELONGS_TO |
NEW: боб | персонаж | контролёр, ищет пропавшего кёна
EDGE: боб -> персонаж | BELONGS_TO |
NEW: моб | персонаж | контролёр, разговаривает с бобом
EDGE: моб -> персонаж | BELONGS_TO |
NEW: флиц | персонаж | лицо, перед которым нужно отчитаться
EDGE: флиц -> персонаж | BELONGS_TO |
NEW: церемониальный зал | локация | место проведения свадьбы
EDGE: церемониальный зал -> локация | BELONGS_TO |
NEW: пещера | локация | сырая и тёмная, где проснулся кён
EDGE: пещера -> локация | BELONGS_TO |
NEW: шахта | локация | место работы с рельсами и фонарями
EDGE: шахта -> локация | BELONGS_TO |
NEW: свадьба | событие | церемония бракосочетания кары и юноши
EDGE: свадьба -> событие | BELONGS_TO |
NEW: побег | событие | попытка кёна выбраться из пещеры и шахты
EDGE: побег -> событие | BELONGS_TO |
NEW: поиск | событие | боб и моб ищут пропавшего кёна
EDGE: поиск -> событие | BELONGS_TO |
NEW: кольцо | предмет | свадебное кольцо
EDGE: кольцо -> предмет | BELONGS_TO |
NEW: свадебное платье | предмет | бело-бордовое платье принцессы
EDGE: свадебное платье -> предмет | BELONGS_TO |
NEW: каска с фонарём | предмет | источник света, найденный кёном
EDGE: каска с фонарём -> предмет | BELONGS_TO |
NEW: кирка | предмет | металлический инструмент шахтёра
EDGE: кирка -> предмет | BELONGS_TO |
NEW: странный прибор | предмет | прибор со стрелкой, не похожий на компас
EDGE: странный прибор -> предмет | BELONGS_TO |
NEW: власть | концепция | чувство власти юноши над карой
EDGE: власть -> концепция | BELONGS_TO |
NEW: месть | концепция | намерение кары отомстить в брачную ночь
EDGE: месть -> концепция | BELONGS_TO |
NEW: потеря памяти | концепция | состояние кёна, не помнящего прошлого
EDGE: потеря памяти -> концепция | BELONGS_TO |
NEW: рабство | концепция | статус работников шахты
EDGE: рабство -> концепция | BELONGS_TO |
NEW: организация | организация | не названа, управляет шахтой
EDGE: организация -> организация | BELONGS_TO |
NEW: код | код | символы-клеймо на лбу кёна, означающие его имя
EDGE: код -> код | BELONGS_TO |
EDGE: кён -> кара | ЖЕНИХ_НЕВЕСТА | Почти муж и жена надели друг другу кольца.
EDGE: кара -> кён | ПРЕЗИРАЕТ | Именно таким взглядом принцесса взирала на упоенно лобызающего её паренька.
EDGE: кён -> кара | ЦЕЛУЕТ | Парень, не сдерживаясь, страстно впился в них
EDGE: старейшина -> кён | ОБЪЯВЛЯЕТ_МУЖЕМ_И_ЖЕНОЙ | «Объявляю вас мужем и женой!»
EDGE: мать кары -> кара | СДЕРЖИВАЕТ | но внимательный взгляд матери сдерживал её.
EDGE: кён -> шахта | ПРИГОВОРЕН_К_РАБОТЕ_В | человека перед ней – это безродный юноша, которого она приговорила к каторжным работам в шахтах
EDGE: кён -> пещера | ПРОСЫПАЕТСЯ_В | Вокруг была сырая, холодная пещера.
EDGE: кён -> каска с фонарём | НАХОДИТ | Подняв лежащую неподалеку каску со встроенным фонарём
EDGE: кён -> кирка | НАХОДИТ | Он обнаружил металлический инструмент с рукояткой и острым концом, наподобие кирки.
EDGE: кён -> странный прибор | НАХОДИТ | Рядом лежал странный прибор
EDGE: кён -> код | ИМЕЕТ_НА_ЛБУ | он ощутил странное покалывание и очертания каких-то символов.
EDGE: пещера -> шахта | ВЕДЁТ_К | Наконец, явились признаки цивилизации – деревянные опоры, поддерживали шахту.
EDGE: боб -> кён | ИЩЕТ | Три дня назад пропал юноша по имени Кён.
EDGE: моб -> кён | ИЩЕТ | Три дня назад пропал юноша по имени Кён.
EDGE: боб -> флиц | ДОЛЖЕН_ОТЧИТАТЬСЯ_ПЕРЕД | как нам отчитаться перед Флицем!
EDGE: моб -> флиц | ДОЛЖЕН_ОТЧИТАТЬСЯ_ПЕРЕД | как нам отчитаться перед Флицем!
EDGE: боб -> организация | РАБОТАЕТ_НА | Нам бы доложили о происшествии свояки
EDGE: моб -> организация | РАБОТАЕТ_НА | Нам бы доложили о происшествии свояки

--- PARSED RESULT ---
{
  "entities": [
    {
      "name": "кён",
      "type": "персонаж",
      "summary": "юноша, потерявший память в шахте",
      "action": "create",
      "confidence": 0.8
    },
    {
      "name": "кара",
      "type": "персонаж",
      "summary": "принцесса, невеста на церемонии",
